month,avg_water_temp
Jan-22,26.0
Feb-22,26.0
Mar-22,26.0
Apr-22,27.0
May-22,27.0
Jun-22,27.0
Jul-22,27.0
Aug-22,25.0
Sep-22,27.0
Oct-22,27.0
Nov-22,27.0
Dec-22,27.0
Jan-21,26.0
Feb-21,26.0
Mar-21,26.0
Apr-21,27.0
May-21,25.0
Jun-21,25.0
Jul-21,25.0
Aug-21,26.0
Sep-21,28.0
Oct-21,26.0
Nov-21,26.0
Dec-21,26.0
Jan-20,25.0
Feb-20,25.0
Mar-20,25.0
Apr-20,26.0
May-20,27.0
Jun-20,27.0
Jul-20,26.0
Aug-20,26.0
Sep-20,26.0
Oct-20,27.0
Nov-20,27.0
Dec-20,26.0
Jan-19,22.0
Feb-19,25.0
Mar-19,27.0
Apr-19,28.0
May-19,28.0
Jun-19,27.0
Jul-19,28.0
Aug-19,26.0
Sep-19,27.0
Oct-19,27.0
Nov-19,27.0
Dec-19,26.0
Jan-18,23.0
Feb-18,22.0
Mar-18,24.0
Apr-18,28.0
May-18,26.0
Jun-18,22.0
Jul-18,29.0
Aug-18,27.0
Sep-18,28.0
Oct-18,28.0
Nov-18,26.0
Dec-18,26.0
Jan-17,24.0
Feb-17,22.0
Mar-17,25.0
Apr-17,26.0
May-17,25.0
Jun-17,24.0
Jul-17,24.0
Aug-17,25.0
Sep-17,26.0
Oct-17,26.0
Nov-17,26.0
Dec-17,25.0
Jan-16,24.0
Feb-16,25.0
Mar-16,28.0
Apr-16,25.0
May-16,25.0
Jun-16,24.0
Jul-16,24.0
Aug-16,29.0
Sep-16,26.0
Oct-16,25.0
Nov-16,27.0
Dec-16,26.0
Jan-15,26.0
Feb-15,24.0
Mar-15,24.0
Apr-15,25.0
May-15,26.0
Jun-15,23.0
Jul-15,24.0
Aug-15,22.0
Sep-15,22.0
Oct-15,24.0
Nov-15,24.0
Dec-15,22.0
