month,avg_air_temp
Jan-15,27.64
Feb-15,30.8
Mar-15,33.61
Apr-15,34.84
May-15,37.45
Jun-15,32.55
Jul-15,32.41
Aug-15,31.38
Sep-15,31.71
Oct-15,32.48
Nov-15,29.75
Dec-15,29.09
Jan-16,29.18
Feb-16,32.4
Mar-16,34.62
Apr-16,37.34
May-16,37.13
Jun-16,33.53
Jul-16,30.98
Aug-16,31.39
Sep-16,30.79
Oct-16,31.76
Nov-16,30.09
Dec-16,28.77
Jan-17,28.68
Feb-17,31.68
Mar-17,33.94
Apr-17,36.47
May-17,37.67
Jun-17,33.08
Jul-17,30.77
Aug-17,31.28
Sep-17,32.34
Oct-17,31.7
Nov-17,29.66
Dec-17,28.43
Jan-18,28.52
Feb-18,31.93
Mar-18,34.66
Apr-18,35.66
May-18,35.9
Jun-18,34.25
Jul-18,30.31
Aug-18,30.29
Sep-18,31.76
Oct-18,32.06
Nov-18,31.14
Dec-18,27.23
Jan-19,27.86
Feb-19,31.09
Mar-19,33.84
Apr-19,36.33
May-19,37.17
Jun-19,34.95
Jul-19,31.23
Aug-19,30.59
Sep-19,30.32
Oct-19,30.93
Nov-19,30.35
Dec-19,28.18
Jan-20,28.21
Feb-20,29.38
Mar-20,33.13
Apr-20,35.06
May-20,35.99
Jun-20,32.9
Jul-20,31.45
Aug-20,29.92
Sep-20,31.76
Oct-20,30.87
Nov-20,29.69
Dec-20,28.54
Jan-21,29.44
Feb-21,30.84
Mar-21,34.71
Apr-21,35.81
May-21,35.78
Jun-21,32.78
Jul-21,30.82
Aug-21,31.38
Sep-21,30.7
Oct-21,31.7
Nov-21,28.96
Dec-21,27.15
Jan-22,27.09
Feb-22,29.92
Mar-22,34.4
Apr-22,36.04
May-22,35.91
Jun-22,33.99
Jul-22,30.34
Aug-22,30.64
Sep-22,31.2
Oct-22,30.71
Nov-22,29.6
Dec-22,28.94
