month,avg_water_temp,Ox_stat
Jan-15,27,6.7
Feb-15,27,6.8
Mar-15,29,6.9
Apr-15,29,6.9
May-15,32,5.9
Jun-15,30,5.6
Jul-15,28,6.2
Aug-15,26,6.2
Sep-15,25,6.5
Oct-15,28,6.7
Nov-15,27,6.6
Dec-15,27,6.4
Jan-16,26,6.2
Feb-16,28,6
Mar-16,27,6.2
Apr-16,28,5.7
May-16,27,5.4
Jun-16,26,6.1
Jul-16,25,5.6
Aug-16,25,5.9
Sep-16,23,6.4
Oct-16,23,6.1
Nov-16,25,5.7
Dec-16,23,5.8
Jan-17,25,5.5
Feb-17,27,5.8
Mar-17,28,5.5
Apr-17,27,5.8
May-17,25,2.2
Jun-17,22,2
Jul-17,22,2.5
Aug-17,21,2.4
Sep-17,22,5.6
Oct-17,21,7
Nov-17,23,7
Dec-17,21,6.4
Jan-18,23,6.6
Feb-18,23,5.4
Mar-18,25,5.7
Apr-18,28,5.9
May-18,29,5.6
Jun-18,26,6.2
Jul-18,24,6.6
Aug-18,24,7.2
Sep-18,24,6.8
Oct-18,22,6.8
Nov-18,22,6.6
Dec-18,23,6.8
Jan-19,18,5.8
Feb-19,19.6,6.5
Mar-19,23,5.9
Apr-19,25,5.7
May-19,24,5.5
Jun-19,25,5.4
Jul-19,24,6.8
Aug-19,26,5.9
Sep-19,22,7.1
Oct-19,21,6.8
Nov-19,21,5.6
Dec-19,22,6.3
Jan-20,23,5.5
Feb-20,24,5.7
Mar-20,26,5.7
Apr-20,26,6
May-20,28,5.5
Jun-20,26,5.4
Jul-20,28,5.7
Aug-20,26,5.6
Sep-20,23,6.6
Oct-20,21,6.3
Nov-20,20,6.3
Dec-20,20,5.8
Jan-21,24,5.5
Feb-21,26,5.5
Mar-21,24,5
Apr-21,26,5.3
May-21,27,5.4
Jun-21,25,5.3
Jul-21,24,5.3
Aug-21,22,6.2
Sep-21,23,5.8
Oct-21,24,6
Nov-21,24,6.3
Dec-21,21,6.4
Jan-22,22,6.2
Feb-22,23,6.4
Mar-22,25,7.5
Apr-22,29,5.9
May-22,25,4.9
Jun-22,26,5.7
Jul-22,25,6.3
Aug-22,22,6.1
Sep-22,24,6.1
Oct-22,23,6.1
Nov-22,25,6.4
Dec-22,24,5.6
