month,avg_water_temp,Ox_stat
Jan-22,26.0,8.113707022944354
Feb-22,26.0,8.113707022944354
Mar-22,26.0,8.113707022944354
Apr-22,27.0,7.9685614561029485
May-22,27.0,7.9685614561029485
Jun-22,27.0,7.9685614561029485
Jul-22,27.0,7.9685614561029485
Aug-22,25.0,8.263539332799558
Sep-22,27.0,7.9685614561029485
Oct-22,27.0,7.9685614561029485
Nov-22,27.0,7.9685614561029485
Dec-22,27.0,7.9685614561029485
Jan-21,26.0,8.113707022944354
Feb-21,26.0,8.113707022944354
Mar-21,26.0,8.113707022944354
Apr-21,27.0,7.9685614561029485
May-21,25.0,8.263539332799558
Jun-21,25.0,8.263539332799558
Jul-21,25.0,8.263539332799558
Aug-21,26.0,8.113707022944354
Sep-21,28.0,7.827858984181006
Oct-21,26.0,8.113707022944354
Nov-21,26.0,8.113707022944354
Dec-21,26.0,8.113707022944354
Jan-20,25.0,8.263539332799558
Feb-20,25.0,8.263539332799558
Mar-20,25.0,8.263539332799558
Apr-20,26.0,8.113707022944354
May-20,27.0,7.9685614561029485
Jun-20,27.0,7.9685614561029485
Jul-20,26.0,8.113707022944354
Aug-20,26.0,8.113707022944354
Sep-20,26.0,8.113707022944354
Oct-20,27.0,7.9685614561029485
Nov-20,27.0,7.9685614561029485
Dec-20,26.0,8.113707022944354
Jan-19,22.0,8.74379978871973
Feb-19,25.0,8.263539332799558
Mar-19,27.0,7.9685614561029485
Apr-19,28.0,7.827858984181006
May-19,28.0,7.827858984181006
Jun-19,27.0,7.9685614561029485
Jul-19,28.0,7.827858984181006
Aug-19,26.0,8.113707022944354
Sep-19,27.0,7.9685614561029485
Oct-19,27.0,7.9685614561029485
Nov-19,27.0,7.9685614561029485
Dec-19,26.0,8.113707022944354
Jan-18,23.0,8.578306834842195
Feb-18,22.0,8.74379978871973
Mar-18,24.0,8.418315489045193
Apr-18,28.0,7.827858984181006
May-18,26.0,8.113707022944354
Jun-18,22.0,8.74379978871973
Jul-18,29.0,7.691368677997244
Aug-18,27.0,7.9685614561029485
Sep-18,28.0,7.827858984181006
Oct-18,28.0,7.827858984181006
Nov-18,26.0,8.113707022944354
Dec-18,26.0,8.113707022944354
Jan-17,24.0,8.418315489045193
Feb-17,22.0,8.74379978871973
Mar-17,25.0,8.263539332799558
Apr-17,26.0,8.113707022944354
May-17,25.0,8.263539332799558
Jun-17,24.0,8.418315489045193
Jul-17,24.0,8.418315489045193
Aug-17,25.0,8.263539332799558
Sep-17,26.0,8.113707022944354
Oct-17,26.0,8.113707022944354
Nov-17,26.0,8.113707022944354
Dec-17,25.0,8.263539332799558
Jan-16,24.0,8.418315489045193
Feb-16,25.0,8.263539332799558
Mar-16,28.0,7.827858984181006
Apr-16,25.0,8.263539332799558
May-16,25.0,8.263539332799558
Jun-16,24.0,8.418315489045193
Jul-16,24.0,8.418315489045193
Aug-16,29.0,7.691368677997244
Sep-16,26.0,8.113707022944354
Oct-16,25.0,8.263539332799558
Nov-16,27.0,7.9685614561029485
Dec-16,26.0,8.113707022944354
Jan-15,26.0,8.113707022944354
Feb-15,24.0,8.418315489045193
Mar-15,24.0,8.418315489045193
Apr-15,25.0,8.263539332799558
May-15,26.0,8.113707022944354
Jun-15,23.0,8.578306834842195
Jul-15,24.0,8.418315489045193
Aug-15,22.0,8.74379978871973
Sep-15,22.0,8.74379978871973
Oct-15,24.0,8.418315489045193
Nov-15,24.0,8.418315489045193
Dec-15,22.0,8.74379978871973
